time,temperature,temperature_sigma,decimal_year,n_valid
1976-03-01,3.422723019654757,2.8334171953649303,1976.2083333333333,1002
1976-04-01,3.175850874196975,2.707915693062354,1976.2916666666667,1002
1976-05-01,3.157653339819113,2.685562316549469,1976.375,1002
1976-06-01,2.9727437230491134,2.682859488703744,1976.4583333333333,1002
1976-07-01,3.045235971216051,2.7845265994380433,1976.5416666666667,1002
1976-08-01,3.165177622294875,2.75606835206351,1976.625,1002
1976-09-01,3.135511940455747,2.8777733379214574,1976.7083333333333,1002
1976-10-01,3.2123874014387916,3.037888627254937,1976.7916666666667,1002
1976-11-01,3.6367952085147617,3.234778750007107,1976.875,1002
1976-12-01,3.8147503589252607,3.168387835377476,1976.9583333333333,1002
1977-01-01,3.5651782020097125,2.899674236992978,1977.0416666666667,1002
1977-02-01,3.4088240732888244,2.811268706389601,1977.125,1002
1977-03-01,3.336342847391537,2.8046302346366976,1977.2083333333333,1002
1977-04-01,3.452966757980991,2.8188749643518207,1977.2916666666667,1002
1977-05-01,3.518907249104532,2.8377685494651983,1977.375,1002
1977-06-01,3.521793529173045,2.842364392689541,1977.4583333333333,1002
1977-07-01,3.520071253460364,2.841068517843735,1977.5416666666667,1002
1977-08-01,3.48941586112089,2.912112865818668,1977.625,1002
1977-09-01,3.5179214926698563,3.049073593030474,1977.7083333333333,1002
1977-10-01,3.4072644391179154,3.0366500864817825,1977.7916666666667,1002
1977-11-01,3.630151981056502,3.093032767110814,1977.875,1002
1977-12-01,3.6059937284817063,3.037540318762861,1977.9583333333333,1002
1978-01-01,3.3059683572851877,2.97226977912094,1978.0416666666667,1002
1978-02-01,3.366056326102478,3.010980865559842,1978.125,1002
1978-03-01,3.3860240494210454,2.9377090412797324,1978.2083333333333,1002
1978-04-01,3.3128454962429976,2.815903241404455,1978.2916666666667,1002
1978-05-01,3.3313458164258916,2.8306088247872343,1978.375,1002
1978-06-01,3.189769307107511,2.901300974959379,1978.4583333333333,1002
1978-07-01,3.3198208020665145,2.9183619006037813,1978.5416666666667,1002
1978-08-01,3.4384572719939372,2.9781442196193417,1978.625,1002
1978-09-01,3.2738028152847005,3.0040548875923316,1978.7083333333333,1002
1978-10-01,3.151473750493186,2.9999244942430527,1978.7916666666667,1002
1978-11-01,3.3990057883320985,3.038319355389556,1978.875,1002
1978-12-01,3.346198641171437,2.9526179716834045,1978.9583333333333,1002
1979-01-01,3.298302282743481,2.995350564412969,1979.0416666666667,1002
1979-02-01,3.421324757437698,3.071041655405863,1979.125,1002
1979-03-01,3.3634330738417275,2.88969739560347,1979.2083333333333,1002
1979-04-01,3.112846325027681,2.736344403136333,1979.2916666666667,1002
1979-05-01,3.1732090916496745,2.8464789784321414,1979.375,1002
1979-06-01,3.21609426728402,2.899017066938456,1979.4583333333333,1002
1979-07-01,3.2308301163931237,2.8654083057449453,1979.5416666666667,1002
1979-08-01,3.2421302079702765,2.969136070074505,1979.625,1002
1979-09-01,3.457723898207373,2.928877819070747,1979.7083333333333,1002
1979-10-01,2.977815044310481,3.0804432337667182,1979.7916666666667,1002
1979-11-01,3.4195553481857845,3.006532474376622,1979.875,1002
1979-12-01,3.561988255815744,2.959732118850577,1979.9583333333333,1002
1980-01-01,3.4362983182875073,2.808261112624138,1980.0416666666667,1002
1980-02-01,3.1253353989380788,2.742580409079869,1980.125,1002
1980-03-01,3.201229459386662,2.7937697479251673,1980.2083333333333,1002
1980-04-01,3.26179070479796,2.7848269939868717,1980.2916666666667,1002
1980-05-01,3.331007015396468,2.7798630052073325,1980.375,1002
1980-06-01,3.124223082072616,2.773255764217851,1980.4583333333333,1002
1980-07-01,3.476050343342699,2.946508474746141,1980.5416666666667,1002
1980-08-01,3.3260269709197656,2.9092182587619324,1980.625,1002
1980-09-01,3.0368920902538568,3.162085369996752,1980.7083333333333,1002
1980-10-01,3.208382015146234,3.195960955068995,1980.7916666666667,1002
1980-11-01,3.7071822420417555,3.1528335398800986,1980.875,1002
1980-12-01,3.4641540456757816,3.0187563360594405,1980.9583333333333,1002
1981-01-01,3.265527669427826,2.854397367717059,1981.0416666666667,1002
1981-02-01,3.3262525095370976,3.0119675835883326,1981.125,1002
1981-03-01,3.1623307231007196,2.7766502625256875,1981.2083333333333,1002
1981-04-01,3.0718736349991227,2.7468133188819075,1981.2916666666667,1002
1981-05-01,3.1353604952574914,2.8706598605168976,1981.375,1002
1981-06-01,3.0454085369360486,2.9291049018840134,1981.4583333333333,1002
1981-07-01,3.239152187089312,2.8559400165752176,1981.5416666666667,1002
1981-08-01,3.2584775138295607,2.94666437670347,1981.625,1002
1981-09-01,3.3463860157911185,2.917730046812645,1981.7083333333333,1002
1981-10-01,3.7360634060087317,3.1056373132052024,1981.7916666666667,1002
1981-11-01,3.6270520605508403,3.0342299797403585,1981.875,1002
1981-12-01,3.579077838658027,3.021852106027719,1981.9583333333333,1002
1982-01-01,3.3179404878925207,3.007677123870104,1982.0416666666667,1002
1982-02-01,3.3095055159623317,2.943778497394172,1982.125,1002
1982-03-01,3.276412118612373,2.952353438906081,1982.2083333333333,1002
1982-04-01,3.1465634107970435,2.850628185445703,1982.2916666666667,1002
1982-05-01,3.196916270806697,2.671866364147961,1982.375,1002
1982-06-01,3.1198627496922984,2.8690911140443505,1982.4583333333333,1002
1982-07-01,3.1633637367353904,2.989573426858209,1982.5416666666667,1002
1982-08-01,3.1231951136071943,3.087604241268428,1982.625,1002
1982-09-01,3.0951614680186674,3.0634378490327374,1982.7083333333333,1002
1982-10-01,3.2795800843685794,3.169751092458115,1982.7916666666667,1002
1982-11-01,3.5246309046346673,3.06640966099004,1982.875,1002
1982-12-01,3.5620897354826613,3.083180705132977,1982.9583333333333,1002
1983-01-01,3.395558112910812,2.844244037987581,1983.0416666666667,1002
1983-02-01,3.133493179938555,2.760980187308566,1983.125,1002
1983-03-01,3.0877026433802666,2.7587914281183115,1983.2083333333333,1002
1983-04-01,3.0228630964868124,2.6916120695076047,1983.2916666666667,1002
1983-05-01,2.9788402231857414,2.647340543290328,1983.375,1002
1983-06-01,3.0369265207114253,2.884353899520512,1983.4583333333333,1002
1983-07-01,3.1902314694374514,2.9250407662444347,1983.5416666666667,1002
1983-08-01,3.21572773695657,3.0753359677052146,1983.625,1002
1983-09-01,3.057061178253907,3.049165920703604,1983.7083333333333,1002
1983-10-01,3.332658263183818,3.0138212168605127,1983.7916666666667,1002
1983-11-01,3.22086509518725,3.0722760382274457,1983.875,1002
1983-12-01,3.3464774006754174,3.052414900620249,1983.9583333333333,1002
1984-01-01,3.184150766720038,2.950969911134215,1984.0416666666667,1002
1984-02-01,3.037558082024838,2.9167609559805165,1984.125,1002
1984-03-01,2.8833266490312046,2.8932467029321027,1984.2083333333333,1002
1984-04-01,2.9210309013730784,2.7313970535787764,1984.2916666666667,1002
1984-05-01,2.9736858670634865,2.673787664897041,1984.375,1002
1984-06-01,2.681586082485498,2.642049061121518,1984.4583333333333,1002
1984-07-01,2.7757627905224598,2.7186076093268654,1984.5416666666667,1002
1984-08-01,2.9853506899351876,2.847750275284102,1984.625,1002
1984-09-01,2.89812700052064,2.948584008367149,1984.7083333333333,1002
1984-10-01,3.1952957905870525,3.027872705759947,1984.7916666666667,1002
1984-11-01,3.3094909800525536,3.0177175796861277,1984.875,1002
1984-12-01,3.275755560813241,2.9050431356866127,1984.9583333333333,1002
1985-01-01,3.317665281373836,2.8802097054330673,1985.0416666666667,1002
1985-02-01,3.1054296938835164,2.8533733979892375,1985.125,1002
